πληροφορίες,ημνία_πλειστηριασμού,μοναδικός_κωδικός,τύπος_ακινήτου,περιφέρεια,δήμος,επιφάνεια,όροφος,έτος_κατασκευής,κατάσταση_πλειστηριασμού,τιμή_εκκίνησης (€),ακρίβεια_τοποθεσίας,latitude,longitude,year_range,surface_range
https://www.eauction.gr/Auction/Details/d3dc___bacb434_65b0d4a526dck_i61,20/11/2019,qpobGQmNjt,Κατοικία,Αττικής,Πειραιώς,99.5,1ος,1993.0,Ολοκληρωμένος,144327,ναι,37.9463014,23.667726,1990-1999,50-99
https://www.eauction.gr/Auction/Details/4i7jb230bcdd4c55742k3b0h_c253e__,18/12/2019,Oe6tefN9u6-001,Κατοικία,Αττικής,Χαϊδαρίου,84.5,4ος,1985.0,Ματαιωμένος,103323,ναι,38.0162251,23.649152,1970-1989,50-99
https://www.eauction.gr/Auction/Details/a6aib773ae03b04a1153d51d52ad403a,18/12/2019,Oe6tefN9u6-002,Αποθήκη,Αττικής,Χαϊδαρίου,3.6,Υπόγειο,1985.0,Ματαιωμένος,3000,ναι,38.0162251,23.649152,1970-1989,<50
https://www.eauction.gr/Auction/Details/3cba_6c_2ca142064k2d0k5gd46g1653,18/12/2019,Oe6tefN9u6-003,Κατοικία,Αττικής,Χαϊδαρίου,116.0,4ος,1985.0,Ματαιωμένος,141933,ναι,38.0162251,23.649152,1970-1989,100-149
https://www.eauction.gr/Auction/Details/aaa_1766d31b_2700e2db46jafb37k53,18/12/2019,Oe6tefN9u6-004,Αποθήκη,Αττικής,Χαϊδαρίου,3.6,Υπόγειο,1985.0,Ματαιωμένος,3000,ναι,38.0162251,23.649152,1970-1989,<50
https://www.eauction.gr/Auction/Details/4db3_03cbh4e2a_02e464c4g6hac6c3j,20/11/2019,F9W0UYPPDP,Κατοικία,Αττικής,Κηφισιάς,165.23,3ος,1975.0,Ολοκληρωμένος,220000,ναι,38.0874231,23.7997438,1970-1989,150-199
https://www.eauction.gr/Auction/Details/7g2350ag2f4_7f4gc7bj61db0jc61gaf,25/09/2019,RKXaqnTrrt-002,Θέση Στάθμευσης,Αττικής,Αθηναίων,12.15,Υπόγειο,1999.0,Ολοκληρωμένος,5000,ναι,37.9963278,23.7255781,1990-1999,<50
https://www.eauction.gr/Auction/Details/bf5e75bjc_56_c7g401c2j6h4h577d5j,05/12/2019,r28RFH5IVj,Κατοικία,Αττικής,Αθηναίων,103.0,5ος,1981.0,Ολοκληρωμένος,113000,ναι,37.9645625,23.7438255,1970-1989,100-149
https://www.eauction.gr/Auction/Details/_3143_df5_cg16713f_1b1_1_i4a1i31,29/01/2020,etYEIq3HQ6,Κατοικία,Αττικής,Χαϊδαρίου,99.6,3ος,1988.0,Ματαιωμένος,115245,ναι,38.0153592,23.6680889,1970-1989,50-99
https://www.eauction.gr/Auction/Details/df554fb6df4g6h6acj034a_h167cba20,15/01/2020,ZJM83JFxmS-002,Κατοικία,Αττικής,Αθηναίων,134.0,5ος,1955.0,Ματαιωμένος,176478,ναι,37.9802637,23.7372273,1950-1969,100-149
https://www.eauction.gr/Auction/Details/a44cd7cba02__j213j_d2i67dg5kbc3b,13/02/2020,qw5nhSM67Y-001,Επαγγελματικοί Χώροι,Αττικής,Αθηναίων,113.11,Υπόγειο,1970.0,Ολοκληρωμένος,25000,όχι,37.9748853,23.7176584,1970-1989,100-149
https://www.eauction.gr/Auction/Details/a633_47fc6__aic24_4jdf3k5g5j4f1d,13/02/2020,qw5nhSM67Y-002,Επαγγελματικοί Χώροι,Αττικής,Αθηναίων,37.94,Ισόγειο,1970.0,Ολοκληρωμένος,44000,όχι,37.9748853,23.7176584,1970-1989,<50
https://www.eauction.gr/Auction/Details/4kafb4_1c256bb451_5bdf1i6k4_6355,13/02/2020,qw5nhSM67Y-003,Επαγγελματικοί Χώροι,Αττικής,Αθηναίων,64.03,Ισόγειο,1970.0,Ολοκληρωμένος,78000,όχι,37.9748853,23.7176584,1970-1989,50-99
https://www.eauction.gr/Auction/Details/_d_cbb6bce5ecg1c6c4k_edc6227cf_3,18/03/2020,oSYDBouR5y-002,Αποθήκη,Αττικής,Ελληνικού - Αργυρούπολης,50.0,Υπόγειο,1991.0,Ματαιωμένος,11391,όχι,37.9061945,23.7384338,1990-1999,50-99
https://www.eauction.gr/Auction/Details/146b762a20ad040a111e50ci_453115j,18/03/2020,oSYDBouR5y-003,Θέση Στάθμευσης,Αττικής,Ελληνικού - Αργυρούπολης,15.0,Πυλωτή,1991.0,Ματαιωμένος,8659,όχι,37.9061945,23.7384338,1990-1999,<50
https://www.eauction.gr/Auction/Details/23bk4jc264bba5667ibi2f7i261c774j,18/03/2020,oSYDBouR5y-001,Κατοικία,Αττικής,Ελληνικού - Αργυρούπολης,105.0,1ος,1991.0,Ματαιωμένος,175122,όχι,37.9061945,23.7384338,1990-1999,100-149
https://www.eauction.gr/Auction/Details/6gdec01j_143ae3351ae034haa162k_2,27/03/2020,aUsAJdXwUd-001,Επαγγελματικοί Χώροι,Αττικής,Αθηναίων,43.0,,,Ματαιωμένος,90287,ναι,37.9859245,23.7322602,,<50
https://www.eauction.gr/Auction/Details/4c2_42606i7f06155_ch26232e1a2042,27/03/2020,aUsAJdXwUd-002,Αποθήκη,Αττικής,Αθηναίων,29.6,,,Ματαιωμένος,12430,ναι,37.9859245,23.7322602,,<50
https://www.eauction.gr/Auction/Details/cj646a10c14244d3d0b_727kcja5c76k,12/02/2020,ghHrxTPamh-001,Κατοικία,Αττικής,Λυκόβρυσης - Πεύκης,60.33,Ισόγειο,2003.0,Ολοκληρωμένος,100075,ναι,38.0660416,23.7931706,2000-2009,50-99
https://www.eauction.gr/Auction/Details/6_d61j1cc4075076437ic45ka0a42j_2,12/02/2020,ghHrxTPamh-002,Θέση Στάθμευσης,Αττικής,Λυκόβρυσης - Πεύκης,54.5,Ισόγειο,2003.0,Ολοκληρωμένος,60000,ναι,38.0660416,23.7931706,2000-2009,50-99
https://www.eauction.gr/Auction/Details/414a55136g1aai44b67i753cacbhaf66,12/02/2020,ghHrxTPamh-003,Θέση Στάθμευσης,Αττικής,Λυκόβρυσης - Πεύκης,20.2,Ισόγειο,2003.0,Ολοκληρωμένος,8000,ναι,38.0660416,23.7931706,2000-2009,<50
https://www.eauction.gr/Auction/Details/0h65cd1aad5k6had2e753i4c642kbg50,12/02/2020,ghHrxTPamh-004,Αποθήκη,Αττικής,Λυκόβρυσης - Πεύκης,20.34,Υπόγειο,2003.0,Ολοκληρωμένος,8000,ναι,38.0660416,23.7931706,2000-2009,<50
https://www.eauction.gr/Auction/Details/206e063h6j_101c0_002c0_f2i0c313g,12/02/2020,ghHrxTPamh-005,Αποθήκη,Αττικής,Λυκόβρυσης - Πεύκης,8089.0,Υπόγειο,2003.0,Ολοκληρωμένος,4000,ναι,38.0660416,23.7931706,2000-2009,
https://www.eauction.gr/Auction/Details/1i3f6a1_25b6d57ia74k4f425a50a52k,26/02/2020,iuNtZrQcjr,Κατοικία,Αττικής,Αθηναίων,116.83,,,Ολοκληρωμένος,110755,ναι,37.9963278,23.7255781,,100-149
https://www.eauction.gr/Auction/Details/6hai1a7d5gcc4jdd0i6d5e0bdc2a5jc3,01/04/2020,3Ry4NMJdxq,Κατοικία,Αττικής,Κορυδαλλού,101.0,,,Ματαιωμένος,86854,ναι,37.9752712,23.654503,,100-149
https://www.eauction.gr/Auction/Details/1hci654e54_2d06ba_05634bccb44g64,11/03/2020,xjbH3P282t,Αγροτεμάχιο με κτίσμα,Αττικής,Μαρκοπούλου Μεσογαίας,4302.0,,,Ολοκληρωμένος,120220,όχι,37.8833564,23.9333037,,
https://www.eauction.gr/Auction/Details/0i7h6g64227ddba0363bdd3baj017ia2,23/09/2020,FBXxfwWwoy,Κατοικία,Αττικής,Νέας Ιωνίας,323.0,,1972.0,Ματαιωμένος,242295,ναι,38.029637,23.749896,1970-1989,300-399
https://www.eauction.gr/Auction/Details/bfda3fb44g47736ed00hded4ak1k_4af,07/10/2020,rhvLwYWHdO-001,Κατοικία,Αττικής,Αθηναίων,89.5,3ος,2006.0,Ματαιωμένος,123800,ναι,38.0070581,23.7182241,2000-2009,50-99
https://www.eauction.gr/Auction/Details/727k64505j0cckca6j7ba5ahbec15d32,07/10/2020,rhvLwYWHdO-002,Αποθήκη,Αττικής,Αθηναίων,16.0,Υπόγειο,2006.0,Ματαιωμένος,3150,ναι,38.0070581,23.7182241,2000-2009,<50
